grant_name,grant_uri
R24 Ghosh,https://biccn.org/teams/r24-ghosh
R24 Ropelewski,https://biccn.org/teams/r24-ropelewski
R24 White,https://biccn.org/teams/r24-white
RF1 Chung,https://biccn.org/teams/rf1-chung
RF1 Mueller,https://biccn.org/teams/rf1-mueller
RF1 Nowakowski,https://biccn.org/teams/rf1-nowakowski
RF1 Regev,https://biccn.org/teams/rf1-regev
RF1 Tasic,https://biccn.org/teams/rf1-tasic
RF1 Tilgner,https://biccn.org/teams/rf1-tilgner
U01 Chung,https://biccn.org/teams/u01-chung
U01 Dong,https://biccn.org/teams/u01-dong
U01 Ecker,https://biccn.org/teams/u01-ecker
U01 Feng,https://biccn.org/teams/u01-feng
U01 Fischl,https://biccn.org/teams/u01-fischl
U01 Kriegstein,https://biccn.org/teams/u01-kriegstein
U01 Lein,https://biccn.org/teams/u01-lein
U01 Osten,https://biccn.org/teams/u01-osten
U01 Snyder-Mackler,https://biccn.org/teams/u01-snydermackler
U01 Yang,https://biccn.org/teams/u01-yang
U01 ZhangKun,https://biccn.org/teams/u01-zhangk
U01 ZhangLi,https://biccn.org/teams/u01-zhangl
U19 Ecker,https://biccn.org/teams/u19-ecker
U19 Huang,https://biccn.org/teams/u19-huang
U19 Zeng,https://biccn.org/teams/u19-zeng
U24 Hawrylycz,https://biccn.org/teams/u24-hawrylycz
